file,page,num,type,width,height,color,comp,bpc,enc,interp,object_id,object_gen,x_ppi,y_ppi,encoded_size,ratio,file_size_bytes
docs/source-material/pdf-extract/embedded-images/image-093.png,15,93,smask,1210,1613,gray,1,8,image,no,1086,0,415,415,19.4K,1.0%,18448
docs/source-material/pdf-extract/embedded-images/image-094.png,15,94,image,615,615,icc,3,8,image,no,1094,0,663,663,516K,47%,423589
docs/source-material/pdf-extract/embedded-images/image-095.png,15,95,smask,615,615,gray,1,8,image,no,1094,0,663,663,18.4K,5.0%,21816
docs/source-material/pdf-extract/embedded-images/image-096.png,15,96,image,615,615,icc,3,8,image,no,1113,0,579,579,516K,47%,423009
docs/source-material/pdf-extract/embedded-images/image-097.png,15,97,smask,615,615,gray,1,8,image,no,1113,0,579,579,6797B,1.8%,8828
docs/source-material/pdf-extract/embedded-images/image-098.png,15,98,image,1440,1920,icc,3,8,image,no,1114,0,398,399,311K,3.8%,210023
docs/source-material/pdf-extract/embedded-images/image-099.png,15,99,smask,1440,1920,gray,1,8,image,no,1114,0,398,399,18.3K,0.7%,18030
docs/source-material/pdf-extract/embedded-images/image-100.png,16,100,image,771,450,icc,3,8,image,no,1204,0,231,231,659K,65%,553699
docs/source-material/pdf-extract/embedded-images/image-101.jpg,16,101,image,512,384,icc,3,8,jpeg,no,1205,0,145,145,76.1K,13%,77942
docs/source-material/pdf-extract/embedded-images/image-102.png,16,102,image,1600,745,icc,3,8,image,no,1206,0,373,373,1326K,38%,1155872
docs/source-material/pdf-extract/embedded-images/image-103.png,16,103,image,660,377,icc,3,8,image,no,1207,0,375,373,664K,91%,428309
docs/source-material/pdf-extract/embedded-images/image-104.jpg,16,104,image,519,375,icc,3,8,jpeg,no,1208,0,364,364,92.5K,16%,94721
docs/source-material/pdf-extract/embedded-images/image-105.jpg,17,105,image,525,379,icc,3,8,jpeg,no,1215,0,454,455,49.9K,8.6%,51047
docs/source-material/pdf-extract/embedded-images/image-106.jpg,17,106,image,215,215,icc,3,8,jpeg,no,1216,0,356,356,17.6K,13%,17999
docs/source-material/pdf-extract/embedded-images/image-107.png,17,107,image,296,260,icc,3,8,image,no,1217,0,444,446,121K,54%,125140
docs/source-material/pdf-extract/embedded-images/image-108.png,17,108,image,256,239,icc,3,8,image,no,1218,0,431,433,71.8K,40%,85641
docs/source-material/pdf-extract/embedded-images/image-109.png,17,109,smask,256,239,gray,1,8,image,no,1218,0,431,433,25.0K,42%,26018
docs/source-material/pdf-extract/embedded-images/image-110.png,17,110,image,750,228,icc,3,8,image,no,1219,0,358,359,49.2K,9.8%,51554
docs/source-material/pdf-extract/embedded-images/image-111.png,17,111,image,750,228,icc,3,8,image,no,1219,0,358,359,49.2K,9.8%,51554
docs/source-material/pdf-extract/embedded-images/image-112.jpg,17,112,image,512,384,icc,3,8,jpeg,no,2441,0,195,195,25.8K,4.5%,26407
docs/source-material/pdf-extract/embedded-images/image-113.jpg,17,113,image,512,384,icc,3,8,jpeg,no,2441,0,244,243,25.8K,4.5%,26407
docs/source-material/pdf-extract/embedded-images/image-114.png,17,114,image,252,310,icc,3,8,image,no,1221,0,550,551,78.7K,34%,74475
docs/source-material/pdf-extract/embedded-images/image-115.png,17,115,smask,252,310,gray,1,8,image,no,1221,0,550,551,2499B,3.2%,2523
docs/source-material/pdf-extract/embedded-images/image-116.jpg,17,116,image,324,380,icc,3,8,jpeg,no,1222,0,648,652,86.3K,24%,88374
docs/source-material/pdf-extract/embedded-images/image-117.png,17,117,image,288,343,icc,3,8,image,no,1223,0,601,599,147K,51%,125345
docs/source-material/pdf-extract/embedded-images/image-118.png,17,118,smask,288,343,gray,1,8,image,no,1223,0,601,599,11.3K,12%,12264
docs/source-material/pdf-extract/embedded-images/image-119.jpg,17,119,image,1024,576,icc,3,8,jpeg,no,1224,0,453,453,140K,8.1%,143589
docs/source-material/pdf-extract/embedded-images/image-120.jpg,17,120,image,166,232,icc,3,8,jpeg,no,1225,0,371,371,24.1K,21%,24698
docs/source-material/pdf-extract/embedded-images/image-121.jpg,17,121,image,359,269,icc,3,8,jpeg,no,1226,0,396,397,36.4K,13%,37312
docs/source-material/pdf-extract/embedded-images/image-122.png,17,122,image,200,200,icc,3,8,image,no,1227,0,282,282,25.0K,21%,28357
docs/source-material/pdf-extract/embedded-images/image-123.png,17,123,smask,200,200,gray,1,8,image,no,1227,0,282,282,12.2K,31%,12779
docs/source-material/pdf-extract/embedded-images/image-124.jpg,17,124,image,512,384,icc,3,8,jpeg,no,1228,0,136,136,62.2K,11%,63737
docs/source-material/pdf-extract/embedded-images/image-125.jpg,17,125,image,224,278,icc,3,8,jpeg,no,1229,0,500,494,55.6K,30%,56904
docs/source-material/pdf-extract/embedded-images/image-126.png,17,126,image,512,384,icc,3,8,image,no,1230,0,276,277,46.5K,8.1%,43650
docs/source-material/pdf-extract/embedded-images/image-127.png,17,127,smask,512,384,gray,1,8,image,no,1230,0,276,277,16.3K,8.5%,16554
docs/source-material/pdf-extract/embedded-images/image-128.png,17,128,image,240,224,icc,3,8,image,no,1231,0,366,365,32.0K,20%,39481
docs/source-material/pdf-extract/embedded-images/image-129.png,17,129,smask,240,224,gray,1,8,image,no,1231,0,366,365,10.3K,20%,10689
docs/source-material/pdf-extract/embedded-images/image-130.jpg,17,130,image,256,192,icc,3,8,jpeg,no,1232,0,424,429,9.97K,6.9%,10211
docs/source-material/pdf-extract/embedded-images/image-131.png,18,131,image,237,239,icc,3,8,image,no,1238,0,429,433,97.3K,59%,92913
docs/source-material/pdf-extract/embedded-images/image-132.png,18,132,image,233,233,icc,3,8,image,no,1239,0,414,414,76.8K,48%,77092
docs/source-material/pdf-extract/embedded-images/image-133.png,18,133,smask,233,233,gray,1,8,image,no,1239,0,414,414,18.7K,35%,19582
